id,title,price,ownerid
2489,Charger,300,100
2490,Iphone,100,109
2491,Headphone,400,106
2492,Headphone,100,100
2493,Headphone,500,107
2494,HP,900,108
2495,Nokia,600,101
2496,Iphone,500,106
2497,Charger,300,108
2498,Oneplus,400,102
2499,Headphone,900,107
2500,Oneplus,300,107
2501,Charger,300,108
2502,Nokia,100,105
2503,Nokia,700,105
2504,Charger,800,104
2505,Bag,800,109
2506,Dell,400,104
2507,Dell,100,100
2508,HP,900,107
2509,Headphone,100,108
2510,Iphone,700,102
2511,Nokia,100,101
2512,Dell,200,102
2513,HP,700,102
2514,Dell,300,105
2515,Charger,1000,106
2516,Oneplus,300,108
2517,Charger,1000,101
2518,Dell,900,101
2519,Bag,200,106
2520,Charger,900,100
2521,Bag,700,102
2522,Waterbottle,400,100
2523,Iphone,600,107
2524,Headphone,1000,102
2525,Nokia,600,101
2526,Bag,500,102
2527,Headphone,500,107
2528,Charger,400,107
2529,Bag,200,104
2530,Headphone,400,105
2531,Headphone,100,106
2532,Iphone,600,102
2533,Waterbottle,700,106
2534,Waterbottle,400,104
2535,Bag,400,102
2536,Nokia,600,108
2537,Dell,700,104
2538,Iphone,600,103
2539,Waterbottle,300,107
2540,Charger,700,106
2541,Nokia,500,106
2542,Bag,500,107
2543,Dell,700,102
2544,Waterbottle,400,108
2545,Charger,800,105
2546,Headphone,700,105
2547,Waterbottle,700,108
2548,HP,300,107
2549,Waterbottle,900,109
2550,Charger,700,100
2551,Charger,100,105
2552,Iphone,200,101
2553,Dell,700,108
2554,Iphone,300,100
2555,Iphone,400,109
2556,Waterbottle,200,101
2557,Headphone,200,102
2558,Bag,900,107
2559,Waterbottle,1000,108
2560,HP,200,108
2561,Headphone,900,106
2562,Nokia,800,105
2563,Dell,600,105
2564,Nokia,900,100
2565,Charger,300,109
2566,Dell,500,108
2567,HP,800,107
2568,Iphone,600,105
2569,Dell,800,104
2570,Waterbottle,500,109
2571,Oneplus,400,107
2572,Headphone,900,103
2573,HP,200,108
2574,Dell,300,103
2575,Bag,300,103
2576,Charger,600,107
2577,Dell,200,100
2578,Charger,200,100
2579,Headphone,100,108
2580,Iphone,500,101
2581,Oneplus,400,102
2582,Nokia,700,104
2583,Charger,1000,106
2584,Charger,600,103
2585,Iphone,1000,109
2586,Waterbottle,600,108
2587,Bag,900,106
2588,Dell,200,100
2589,Headphone,200,100
2590,Nokia,100,102
2591,Bag,900,104
2592,Charger,200,108
2593,Dell,1000,103
2594,HP,600,106
2595,Headphone,100,103
2596,HP,1000,107
2597,Charger,400,107
2598,Headphone,500,104
2599,HP,800,102
2600,Headphone,100,103
2601,Oneplus,900,105
2602,Headphone,800,100
2603,Waterbottle,300,104
2604,Waterbottle,400,100
2605,HP,500,100
2606,Iphone,600,107
2607,HP,800,105
2608,Oneplus,800,103
2609,Waterbottle,800,109
2610,Headphone,500,107
2611,Dell,200,109
2612,Oneplus,500,100
2613,Oneplus,200,102
2614,Waterbottle,400,107
2615,HP,900,108
2616,Iphone,100,101
2617,Waterbottle,200,103
2618,HP,800,100
2619,Nokia,400,101
2620,Headphone,1000,106
2621,Charger,800,106
2622,Oneplus,200,107
2623,Bag,200,108
2624,Iphone,500,104
2625,Dell,400,106
2626,Nokia,500,102
2627,Nokia,400,109
2628,Dell,500,102
2629,Dell,1000,102
2630,Oneplus,900,109
2631,Nokia,800,107
2632,Dell,100,103
2633,HP,700,102
2634,Iphone,600,104
2635,Nokia,400,100
2636,Bag,1000,109
2637,Headphone,200,108
2638,Dell,200,100
2639,Iphone,300,104
2640,Dell,100,103
2641,Bag,900,101
2642,Charger,900,103
2643,Headphone,300,104
2644,Headphone,300,108
2645,Bag,900,103
2646,Bag,400,100
2647,Bag,1000,102
2648,Waterbottle,500,104
2649,HP,800,103
2650,Dell,900,106
2651,Charger,600,107
2652,Waterbottle,700,102
2653,Waterbottle,500,108
2654,HP,500,108
2655,Dell,300,107
2656,Dell,100,109
2657,Charger,1000,108
2658,Headphone,100,100
2659,Waterbottle,900,101
2660,Oneplus,500,101
2661,Dell,300,109
2662,Charger,700,103
2663,Headphone,500,108
2664,Nokia,1000,105
2665,HP,500,107
2666,Iphone,1000,106
2667,Nokia,200,109
2668,Waterbottle,900,100
2669,Headphone,700,105
2670,Iphone,400,108
2671,Iphone,200,101
2672,Headphone,900,104
2673,HP,800,105
2674,HP,300,104
2675,Waterbottle,100,100
2676,Bag,900,104
2677,Bag,100,107
2678,Waterbottle,200,104
2679,Waterbottle,400,108
2680,Bag,1000,102
2681,Oneplus,800,103
2682,Waterbottle,200,108
2683,Oneplus,600,102
2684,Oneplus,200,109
2685,Charger,400,101
2686,Charger,100,102
2687,HP,100,103
2688,Waterbottle,700,105
2689,Nokia,500,104
2690,Oneplus,200,105
2691,Charger,800,107
2692,Nokia,400,102
2693,Nokia,800,100
2694,Oneplus,1000,106
2695,Charger,200,104
2696,Headphone,300,108
2697,Bag,700,106
2698,Headphone,1000,109
2699,Headphone,1000,105
2700,Dell,200,104
2701,Headphone,500,109
2702,Waterbottle,900,105
2703,Nokia,100,108
2704,Nokia,300,100
2705,Bag,300,102
2706,Bag,700,100
2707,Iphone,500,100
2708,HP,500,101
2709,Waterbottle,700,108
2710,Waterbottle,1000,104
2711,Iphone,600,101
2712,Iphone,800,100
2713,Charger,600,100
2714,Oneplus,300,100
2715,Oneplus,200,108
2716,Waterbottle,700,103
2717,Waterbottle,200,107
2718,Nokia,300,100
2719,Waterbottle,400,100
2720,Iphone,100,100
2721,Nokia,100,103
2722,Iphone,500,102
2723,Oneplus,800,102
2724,Dell,400,109
2725,Iphone,1000,107
2726,Oneplus,600,108
2727,Waterbottle,300,105
2728,Oneplus,600,109
2729,Charger,800,106
2730,Oneplus,900,105
2731,Charger,1000,100
2732,Charger,800,109
2733,Charger,700,103
2734,Waterbottle,100,102
2735,Nokia,300,108
2736,Bag,100,105
2737,Charger,800,104
2738,HP,300,108
2739,Headphone,700,109
2740,Bag,300,107
2741,Oneplus,200,103
2742,Headphone,300,103
2743,Dell,1000,109
2744,Bag,700,107
2745,Bag,1000,107
2746,Oneplus,700,101
2747,Oneplus,600,109
2748,Headphone,200,108
2749,Iphone,400,109
2750,Charger,400,102
2751,Iphone,500,107
2752,Nokia,800,105
2753,Oneplus,1000,103
2754,Dell,900,105
2755,Bag,500,109
2756,Dell,500,102
2757,Iphone,1000,109
2758,Charger,500,103
2759,Waterbottle,400,104
2760,Oneplus,1000,100
2761,Waterbottle,800,100
2762,Dell,500,106
2763,Dell,200,107
2764,Dell,1000,107
2765,Headphone,700,109
2766,Charger,300,105
2767,Bag,400,108
2768,Bag,800,104
2769,Waterbottle,400,100
2770,Bag,800,102
2771,HP,500,102
2772,Waterbottle,500,103
2773,HP,800,101
2774,Headphone,700,105
2775,HP,300,105
2776,Headphone,400,109
2777,Nokia,100,100
2778,Dell,400,100
2779,HP,300,107
2780,Iphone,500,108
2781,Nokia,100,104
2782,Iphone,400,105
2783,Charger,300,103
2784,HP,100,107
2785,Charger,100,106
2786,Nokia,400,102
2787,Waterbottle,600,103
2788,Charger,700,103
2789,Waterbottle,300,100
2790,Bag,400,108
2791,Waterbottle,300,100
2792,Nokia,1000,102
2793,Charger,900,107
2794,HP,800,100
2795,Dell,1000,101
2796,Dell,1000,106
2797,Dell,100,103
2798,Iphone,400,108
2799,Nokia,1000,100
2800,Waterbottle,400,101
2801,Iphone,1000,101
2802,Dell,300,103
2803,Headphone,400,100
2804,Dell,100,107
2805,Waterbottle,100,101
2806,Waterbottle,600,100
2807,Waterbottle,100,102
2808,Nokia,300,109
2809,Charger,900,101
2810,Nokia,600,106
2811,Oneplus,200,107
2812,Headphone,300,103
2813,Dell,100,101
2814,Dell,700,101
2815,Charger,1000,108
2816,Oneplus,500,106
2817,Oneplus,300,105
2818,Oneplus,800,100
2819,Headphone,900,102
2820,Bag,100,105
2821,Dell,800,106
2822,Bag,700,109
2823,HP,400,104
2824,Oneplus,500,101
2825,Oneplus,400,104
2826,Dell,900,108
2827,HP,1000,108
2828,Waterbottle,200,108
2829,Nokia,200,104
2830,Headphone,600,109
2831,Headphone,100,106
2832,Waterbottle,100,102
2833,Headphone,400,102
2834,Waterbottle,900,107
2835,Oneplus,500,103
2836,Dell,200,103
2837,Waterbottle,600,106
2838,Charger,600,100
2839,Oneplus,500,106
2840,Iphone,700,100
2841,HP,800,107
2842,Charger,400,105
2843,HP,700,105
2844,Charger,100,100
2845,Headphone,1000,104
2846,Charger,900,107
2847,Oneplus,500,104
2848,Bag,100,109
2849,Dell,300,100
2850,Oneplus,500,102
2851,Nokia,1000,105
2852,Bag,300,102
2853,Iphone,100,103
2854,Dell,1000,102
2855,Charger,700,106
2856,Oneplus,300,102
2857,Waterbottle,100,100
2858,Oneplus,300,101
2859,Bag,300,103
2860,HP,300,103
2861,Charger,300,103
2862,Iphone,600,107
2863,HP,700,102
2864,Charger,500,100
2865,Bag,100,105
2866,Dell,1000,108
2867,Dell,500,105
2868,Iphone,400,105
2869,Waterbottle,700,101
2870,Charger,200,107
2871,Oneplus,300,108
2872,Oneplus,900,109
2873,HP,900,103
2874,Waterbottle,800,108
2875,Waterbottle,700,103
2876,Oneplus,1000,106
2877,HP,600,106
2878,Iphone,400,108
2879,Waterbottle,200,107
2880,Headphone,600,106
2881,Iphone,1000,103
2882,Iphone,100,105
2883,Waterbottle,500,106
2884,Charger,200,105
2885,Dell,300,109
2886,Oneplus,400,107
2887,Bag,500,101
2888,Charger,100,103
2889,Iphone,100,101
2890,Dell,800,106
2891,Iphone,600,108
2892,Oneplus,600,101
2893,Waterbottle,400,108
2894,Charger,300,101
2895,Charger,900,102
2896,Nokia,600,108
2897,Oneplus,1000,109
2898,Waterbottle,900,107
2899,HP,900,106
2900,Headphone,700,105
2901,Headphone,700,100
2902,HP,1000,102
2903,Waterbottle,1000,101
2904,Oneplus,700,100
2905,HP,700,104
2906,HP,500,105
2907,Dell,1000,101
2908,Dell,300,108
2909,HP,700,106
2910,HP,100,100
2911,Dell,800,107
2912,Dell,200,102
2913,Iphone,600,103
2914,Headphone,800,100
2915,Oneplus,600,103
2916,Bag,100,106
2917,Nokia,200,100
2918,Waterbottle,400,108
2919,Dell,200,104
2920,Waterbottle,1000,103
2921,HP,100,102
2922,Oneplus,500,103
2923,Nokia,700,101
2924,Iphone,100,104
2925,HP,700,103
2926,Dell,800,107
2927,HP,600,103
2928,Dell,1000,103
2929,Nokia,300,105
2930,Headphone,400,106
2931,Oneplus,700,100
2932,Charger,700,108
2933,Oneplus,300,102
2934,Charger,300,103
2935,Nokia,200,104
2936,Nokia,400,102
2937,Iphone,400,101
2938,Oneplus,900,109
2939,Charger,700,109
2940,Waterbottle,500,102
2941,Dell,600,109
2942,Charger,100,109
2943,Oneplus,500,106
2944,Headphone,700,105
2945,Oneplus,600,105
2946,Bag,1000,105
2947,HP,1000,107
2948,Bag,700,102
2949,Bag,700,100
2950,Charger,300,104
2951,Nokia,700,108
2952,Headphone,1000,100
2953,Iphone,100,105
2954,Dell,400,108
2955,Iphone,1000,100
2956,Waterbottle,700,107
2957,Charger,600,103
2958,Headphone,700,100
2959,Charger,600,109
2960,HP,900,108
2961,Headphone,200,106
2962,Dell,400,104
2963,Bag,100,100
2964,Charger,800,103
2965,Dell,300,109
2966,Charger,700,103
2967,Headphone,200,107
2968,Bag,100,102
2969,Headphone,100,107
2970,Dell,900,109
2971,Dell,300,103
2972,Iphone,200,108
2973,Oneplus,600,101
2974,Oneplus,300,106
2975,Charger,400,103
2976,Oneplus,900,102
2977,Oneplus,400,101
2978,Iphone,700,107
2979,Bag,100,101
2980,Dell,100,101
2981,Charger,300,105
2982,Headphone,1000,103
2983,Charger,100,104
2984,Oneplus,300,105
2985,Oneplus,500,103
2986,Nokia,600,101
2987,Headphone,600,106
2988,Waterbottle,100,102
2989,Iphone,1000,102
2990,Waterbottle,400,102
2991,Waterbottle,300,100
2992,Iphone,100,109
2993,Waterbottle,300,106
2994,Nokia,100,103
2995,HP,400,105
2996,HP,100,107
2997,HP,200,108
2998,Charger,700,108
2999,Charger,400,107
3000,Nokia,200,104
3001,Nokia,900,106
3002,HP,200,100
3003,Headphone,600,104
3004,Headphone,300,101
3005,Dell,1000,106
3006,Charger,100,109
3007,Dell,900,101
3008,Nokia,600,103
3009,Dell,900,106
3010,Bag,900,108
3011,Dell,700,106
3012,Headphone,200,105
3013,Dell,800,101
3014,Dell,600,109
3015,Nokia,400,101
3016,Waterbottle,800,100
3017,Charger,600,104
3018,Bag,900,109
3019,Bag,400,108
3020,HP,300,106
3021,Oneplus,1000,108
3022,Dell,700,100
3023,Dell,400,108
3024,Headphone,400,100
3025,Nokia,300,106
3026,Oneplus,200,106
3027,Headphone,1000,107
3028,HP,600,104
3029,HP,600,107
3030,Dell,900,103
3031,Charger,100,103
3032,Nokia,100,108
3033,Nokia,500,105
3034,Dell,600,106
3035,Oneplus,200,108
3036,Headphone,600,106
3037,Nokia,400,104
3038,Headphone,900,106
3039,Dell,700,100
3040,Headphone,700,102
3041,Oneplus,400,100
3042,Headphone,900,106
3043,HP,300,102
3044,Dell,500,105
3045,Headphone,900,109
3046,Iphone,200,101
3047,Waterbottle,200,108
3048,Oneplus,500,108
3049,Headphone,600,102
3050,Dell,500,103
3051,Iphone,300,101
3052,Waterbottle,900,107
3053,Iphone,700,103
3054,Headphone,900,105
3055,Oneplus,800,101
3056,Iphone,400,108
3057,Iphone,600,104
3058,Charger,200,107
3059,Waterbottle,200,105
3060,Oneplus,900,109
3061,Dell,500,100
3062,Bag,300,104
3063,Bag,600,100
3064,Bag,100,104
3065,Oneplus,500,106
3066,Dell,700,104
3067,Iphone,400,102
3068,HP,300,102
3069,Oneplus,800,102
3070,Dell,500,102
3071,Dell,700,106
3072,Waterbottle,300,100
3073,Oneplus,300,106
3074,Bag,400,105
3075,Iphone,800,104
3076,Headphone,400,106
3077,Waterbottle,400,103
3078,Oneplus,500,104
3079,Oneplus,300,104
3080,Oneplus,600,100
3081,HP,300,102
3082,Charger,300,105
3083,Waterbottle,700,108
3084,Dell,300,109
3085,Charger,700,103
3086,Bag,500,106
3087,Iphone,700,107
3088,Oneplus,400,107
3089,HP,800,101
3090,Dell,100,100
3091,Headphone,700,104
3092,Nokia,100,108
3093,Headphone,600,103
3094,HP,800,100
3095,Bag,200,108
3096,Charger,400,105
3097,Dell,800,107
3098,Dell,600,109
3099,Oneplus,700,104
3100,Oneplus,700,109
3101,Waterbottle,400,106
3102,Charger,1000,105
3103,Dell,200,103
3104,Iphone,300,104
3105,Dell,700,106
3106,Bag,700,107
3107,Waterbottle,100,105
3108,HP,800,107
3109,Waterbottle,400,100
3110,Bag,400,107
3111,HP,400,102
3112,Headphone,800,107
3113,Dell,100,100
3114,HP,700,103
3115,Charger,600,104
3116,Dell,900,102
3117,Dell,200,101
3118,Dell,600,107
3119,Oneplus,200,102
3120,Iphone,200,102
3121,Nokia,100,109
3122,HP,400,101
3123,Iphone,500,100
3124,HP,300,109
3125,Nokia,500,109
3126,Dell,200,105
3127,Headphone,900,102
3128,Nokia,100,101
3129,Oneplus,400,107
3130,Charger,700,103
3131,HP,600,104
3132,Waterbottle,400,104
3133,HP,300,102
3134,Oneplus,800,109
3135,Oneplus,400,109
3136,Charger,400,106
3137,Headphone,400,104
3138,Charger,100,105
3139,Waterbottle,700,102
3140,Dell,500,107
3141,Dell,600,108
3142,Iphone,400,102
3143,HP,900,107
3144,Bag,900,104
3145,Headphone,600,100
3146,Iphone,100,107
3147,Oneplus,1000,109
3148,Oneplus,500,104
3149,Bag,600,103
3150,HP,1000,103
3151,Charger,500,106
3152,Waterbottle,500,106
3153,Oneplus,300,109
3154,Waterbottle,400,108
3155,Waterbottle,300,102
3156,Headphone,300,104
3157,Headphone,700,108
3158,Oneplus,500,100
3159,Bag,600,107
3160,Charger,700,107
3161,Headphone,600,109
3162,Bag,400,100
3163,Dell,300,104
3164,Charger,600,100
3165,Dell,200,102
3166,Waterbottle,900,101
3167,Headphone,800,100
3168,Headphone,100,102
3169,Headphone,900,108
3170,Bag,600,109
3171,Charger,1000,106
3172,HP,900,104
3173,Charger,800,108
